116,205,138,70,1
30,80,154,255,-1
48,136,133,75,1
2,205,33,137,-1
49,136,133,75,1
0,3,1,244,-1
137,70,246,199,-1
48,136,133,75,1
101,114,105,99,-1
254,118,189,139,1
101,110,111,117,-1
94,78,59,247,-1
254,57,134,124,1
0,0,0,0,-1
139,142,18,2,-1
252,126,33,87,1
139,213,185,12,-1
86,196,94,252,1
3,22,35,0,-1
0,0,0,0,-1
80,196,94,252,1
117,248,235,34,-1
230,154,136,14,1
198,117,28,86,-1
250,154,148,20,1
1,51,192,137,-1
180,62,205,33,-1
254,232,39,250,1
3,209,235,219,-1
0,0,0,0,-1
232,20,247,131,1
0,0,0,0,-1
1,232,218,247,1
88,7,71,69,-1
234,165,165,165,1
0,81,82,80,-1
254,106,64,106,1
163,41,0,185,-1
244,154,143,23,1
0,0,0,0,-1
118,164,161,140,1
0,0,0,0,-1
0,0,0,0,-1
70,158,220,153,1
139,62,51,0,-1
0,0,0,0,-1
220,153,247,249,1
0,0,0,0,-1
233,197,254,86,1
67,172,170,10,-1
0,232,33,1,-1
28,189,28,238,1
105,109,101,32,-1
104,116,115,32,-1
29,165,29,106,1
232,116,0,232,-1
232,233,240,86,1
0,0,0,0,-1
1,154,122,32,1
0,0,0,0,-1
208,0,82,80,-1
8,154,120,28,1
255,205,33,180,-1
110,0,0,0,-1
141,70,148,22,1
8,2,185,16,-1
86,154,34,26,1
0,117,3,232,-1
0,0,0,0,-1
141,70,148,22,1
0,0,0,0,-1
251,86,141,70,1
0,3,1,23,-1
0,0,0,0,-1
20,154,176,33,1
0,0,0,0,-1
249,195,139,54,-1
48,125,219,131,1
89,3,193,131,-1
0,0,0,0,-1
106,33,154,31,1
0,161,119,0,-1
232,145,253,61,1
172,60,32,116,-1
0,0,0,0,-1
83,232,216,252,1
246,71,2,4,-1
1,150,109,255,1
191,1,0,190,-1
17,17,17,17,1
150,58,2,3,-1
17,17,17,17,1
16,135,14,222,-1
241,11,210,116,-1
17,17,17,17,1
0,141,70,238,-1
17,17,17,17,1
117,0,232,106,-1
17,17,17,17,1
247,216,137,70,-1
2,0,2,0,-1
17,17,17,16,1
210,0,139,202,-1
0,0,0,0,-1
9,153,153,153,1
139,211,131,194,-1
99,87,67,108,-1
153,153,153,153,1
1,186,117,0,-1
0,0,0,0,-1
153,153,153,153,1
0,227,62,142,-1
77,90,145,0,-1
153,153,153,153,1
7,3,216,38,-1
225,3,6,73,-1
153,153,153,153,1
0,0,0,0,-1
153,153,153,153,1
0,0,0,0,-1
128,79,75,0,-1
17,17,17,17,1
0,0,0,0,-1
28,86,154,255,-1
17,17,17,17,1
140,27,6,86,-1
17,17,17,17,1
0,185,8,0,-1
205,33,195,199,-1
17,17,17,17,1
176,1,10,192,-1
17,17,17,17,1
163,117,0,176,-1
17,17,17,17,1
205,33,6,30,-1
17,17,17,17,1
0,80,255,118,-1
17,17,17,17,1
3,232,156,1,-1
17,17,17,17,1
0,0,0,0,-1
17,17,17,17,1
139,70,242,139,-1
196,2,190,240,-1
9,153,153,153,1
45,32,110,111,-1
153,153,153,153,1
6,73,0,131,-1
2,51,192,137,-1
153,153,153,153,1
0,0,0,0,-1
153,153,153,153,1
64,0,80,0,-1
0,16,0,0,-1
153,153,153,153,1
68,73,4,85,-1
153,153,153,153,1
0,0,78,69,-1
171,131,198,2,-1
159,15,240,228,1
0,0,0,0,-1
0,0,0,0,-1
184,230,233,20,1
184,0,66,205,-1
16,27,96,240,1
45,66,97,115,-1
140,28,75,243,1
0,0,0,0,-1
0,0,0,0,-1
88,246,145,30,1
6,193,224,3,-1
75,243,140,28,1
12,1,3,0,-1
5,1,0,82,-1
140,28,96,240,1
216,51,246,95,-1
0,0,0,0,-1
16,27,162,237,1
0,0,0,0,-1
0,0,0,0,-1
72,25,23,235,1
0,0,0,0,-1
2,247,241,11,-1
162,237,72,25,1
6,2,247,216,-1
7,87,73,78,-1
72,226,88,246,1
124,0,3,1,-1
75,243,240,228,1
0,0,0,0,-1
192,186,240,255,-1
184,230,162,237,1
0,0,0,0,-1
0,0,0,0,-1
162,237,199,232,1
224,0,131,196,-1
184,230,97,240,1
232,21,0,117,-1
116,227,88,246,1
0,0,0,0,-1
205,33,180,64,-1
88,246,72,226,1
194,2,0,0,-1
94,18,240,228,1
139,70,12,235,-1
129,249,111,225,1
32,108,111,97,-1
0,0,0,0,-1
111,225,188,252,1
89,51,210,3,-1
116,205,138,70,1
112,97,99,101,-1
48,136,133,75,1
41,0,177,3,-1
49,136,133,75,1
0,0,0,0,-1
83,139,119,6,-1
48,136,133,75,1
185,6,0,243,-1
3,1,89,2,-1
254,118,189,139,1
0,0,0,0,-1
254,57,134,124,1
0,0,0,0,-1
3,66,235,236,-1
252,126,33,87,1
0,0,0,0,-1
80,196,94,252,1
6,45,0,51,-1
89,0,3,22,-1
86,196,94,252,1
0,0,0,0,-1
230,154,136,14,1
0,0,0,0,-1
11,8,1,0,-1
250,154,148,20,1
201,232,113,0,-1
192,195,139,22,-1
254,232,39,250,1
0,0,0,0,-1
1,232,218,247,1
190,112,0,243,-1
232,222,0,139,-1
232,20,247,131,1
0,0,0,0,-1
234,165,165,165,1
112,112,108,105,-1
0,171,51,201,-1
254,106,64,106,1
0,232,0,0,-1
0,0,0,0,-1
244,154,143,23,1
3,251,22,7,-1
0,0,0,0,-1
118,164,161,140,1
0,0,0
